"","ensembl_gene_id","entrezgene_id","hgnc_symbol","gene_biotype","chromosome_name","start_position","end_position"
"56","ENSG00000291426",54472,"TOLLIP","protein_coding","HG152_PATCH",8637,43920
"57","ENSG00000291428",9024,"BRSK2","protein_coding","HG152_PATCH",124165,196955
"58","ENSG00000291431",1850,"DUSP8","protein_coding","HG152_PATCH",294027,312247
"59","ENSG00000291433",387264,"KRTAP5-1","protein_coding","HG152_PATCH",324318,325259
"60","ENSG00000291434",440021,"KRTAP5-2","protein_coding","HG152_PATCH",337153,338270
"61","ENSG00000291435",387266,"KRTAP5-3","protein_coding","HG152_PATCH",347541,348439
"62","ENSG00000291440",387267,"KRTAP5-4","protein_coding","HG152_PATCH",360934,362114
"63","ENSG00000291443",439915,"KRTAP5-5","protein_coding","HG152_PATCH",369751,370906
"64","ENSG00000291442",81532,"MOB2","protein_coding","HG152_PATCH",203723,274455
"65","ENSG00000236424",128966655,"TSPY10","protein_coding","Y",9527880,9530682
"66","ENSG00000236424",128966647,"TSPY10","protein_coding","Y",9527880,9530682
"67","ENSG00000236424",128966599,"TSPY10","protein_coding","Y",9527880,9530682
"68","ENSG00000236424",128966595,"TSPY10","protein_coding","Y",9527880,9530682
"69","ENSG00000236424",124909318,"TSPY10","protein_coding","Y",9527880,9530682
"70","ENSG00000236424",124909306,"TSPY10","protein_coding","Y",9527880,9530682
"71","ENSG00000236424",124909294,"TSPY10","protein_coding","Y",9527880,9530682
"72","ENSG00000236424",124909197,"TSPY10","protein_coding","Y",9527880,9530682
"73","ENSG00000236424",124909093,"TSPY10","protein_coding","Y",9527880,9530682
"74","ENSG00000236424",124908981,"TSPY10","protein_coding","Y",9527880,9530682
"75","ENSG00000236424",124908980,"TSPY10","protein_coding","Y",9527880,9530682
"76","ENSG00000236424",124908979,"TSPY10","protein_coding","Y",9527880,9530682
"77","ENSG00000236424",124908978,"TSPY10","protein_coding","Y",9527880,9530682
"78","ENSG00000236424",124905630,"TSPY10","protein_coding","Y",9527880,9530682
"79","ENSG00000236424",124905629,"TSPY10","protein_coding","Y",9527880,9530682
"80","ENSG00000236424",124905628,"TSPY10","protein_coding","Y",9527880,9530682
"81","ENSG00000236424",124905627,"TSPY10","protein_coding","Y",9527880,9530682
"82","ENSG00000236424",124905626,"TSPY10","protein_coding","Y",9527880,9530682
"83","ENSG00000236424",124905625,"TSPY10","protein_coding","Y",9527880,9530682
"84","ENSG00000236424",124905624,"TSPY10","protein_coding","Y",9527880,9530682
"85","ENSG00000236424",124905621,"TSPY10","protein_coding","Y",9527880,9530682
"86","ENSG00000236424",124905620,"TSPY10","protein_coding","Y",9527880,9530682
"87","ENSG00000236424",124905619,"TSPY10","protein_coding","Y",9527880,9530682
"88","ENSG00000236424",124905618,"TSPY10","protein_coding","Y",9527880,9530682
"89","ENSG00000236424",124905617,"TSPY10","protein_coding","Y",9527880,9530682
"90","ENSG00000236424",124905616,"TSPY10","protein_coding","Y",9527880,9530682
"91","ENSG00000236424",124905615,"TSPY10","protein_coding","Y",9527880,9530682
"92","ENSG00000236424",124905614,"TSPY10","protein_coding","Y",9527880,9530682
"93","ENSG00000236424",100289087,"TSPY10","protein_coding","Y",9527880,9530682
"94","ENSG00000236424",728137,"TSPY10","protein_coding","Y",9527880,9530682
"95","ENSG00000258992",128966656,"TSPY1","protein_coding","Y",9466955,9469749
"96","ENSG00000258992",128966655,"TSPY1","protein_coding","Y",9466955,9469749
"97","ENSG00000258992",128966647,"TSPY1","protein_coding","Y",9466955,9469749
"98","ENSG00000258992",128966599,"TSPY1","protein_coding","Y",9466955,9469749
"99","ENSG00000258992",128966595,"TSPY1","protein_coding","Y",9466955,9469749
"100","ENSG00000258992",124909330,"TSPY1","protein_coding","Y",9466955,9469749
"101","ENSG00000258992",124909320,"TSPY1","protein_coding","Y",9466955,9469749
"102","ENSG00000258992",124909318,"TSPY1","protein_coding","Y",9466955,9469749
"103","ENSG00000258992",124909306,"TSPY1","protein_coding","Y",9466955,9469749
"104","ENSG00000258992",124909294,"TSPY1","protein_coding","Y",9466955,9469749
"105","ENSG00000258992",124909084,"TSPY1","protein_coding","Y",9466955,9469749
"106","ENSG00000258992",124909015,"TSPY1","protein_coding","Y",9466955,9469749
"107","ENSG00000258992",124908988,"TSPY1","protein_coding","Y",9466955,9469749
"108","ENSG00000258992",124908981,"TSPY1","protein_coding","Y",9466955,9469749
"109","ENSG00000258992",124908980,"TSPY1","protein_coding","Y",9466955,9469749
"110","ENSG00000258992",124908979,"TSPY1","protein_coding","Y",9466955,9469749
"111","ENSG00000258992",124908978,"TSPY1","protein_coding","Y",9466955,9469749
"112","ENSG00000258992",124905629,"TSPY1","protein_coding","Y",9466955,9469749
"113","ENSG00000258992",124905628,"TSPY1","protein_coding","Y",9466955,9469749
"114","ENSG00000258992",124905627,"TSPY1","protein_coding","Y",9466955,9469749
"115","ENSG00000258992",124905626,"TSPY1","protein_coding","Y",9466955,9469749
"116","ENSG00000258992",124905625,"TSPY1","protein_coding","Y",9466955,9469749
"117","ENSG00000258992",124905624,"TSPY1","protein_coding","Y",9466955,9469749
"118","ENSG00000258992",124905623,"TSPY1","protein_coding","Y",9466955,9469749
"119","ENSG00000258992",124905621,"TSPY1","protein_coding","Y",9466955,9469749
"120","ENSG00000258992",124905620,"TSPY1","protein_coding","Y",9466955,9469749
"121","ENSG00000258992",124905619,"TSPY1","protein_coding","Y",9466955,9469749
"122","ENSG00000258992",124905618,"TSPY1","protein_coding","Y",9466955,9469749
"123","ENSG00000258992",124905617,"TSPY1","protein_coding","Y",9466955,9469749
"124","ENSG00000258992",124905616,"TSPY1","protein_coding","Y",9466955,9469749
"125","ENSG00000258992",124905615,"TSPY1","protein_coding","Y",9466955,9469749
"126","ENSG00000258992",124905614,"TSPY1","protein_coding","Y",9466955,9469749
"127","ENSG00000258992",728403,"TSPY1","protein_coding","Y",9466955,9469749
"128","ENSG00000258992",728137,"TSPY1","protein_coding","Y",9466955,9469749
"129","ENSG00000258992",64591,"TSPY1","protein_coding","Y",9466955,9469749
"130","ENSG00000258992",7258,"TSPY1","protein_coding","Y",9466955,9469749
"131","ENSG00000244395",378949,"RBMY1D","protein_coding","Y",21880076,21894526
"132","ENSG00000169953",159119,"HSFY2","protein_coding","Y",18731440,18773735
"133","ENSG00000291455",128966656,"TSPY8","protein_coding","HG1532_PATCH",225079,227881
"134","ENSG00000291455",124908988,"TSPY8","protein_coding","HG1532_PATCH",225079,227881
"135","ENSG00000291455",728403,"TSPY8","protein_coding","HG1532_PATCH",225079,227881
"136","ENSG00000012817",8284,"KDM5D","protein_coding","Y",19703865,19744939
"137","ENSG00000291458",124909329,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"138","ENSG00000291458",124909305,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"139","ENSG00000291458",124909293,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"140","ENSG00000291458",124905618,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"141","ENSG00000291458",124905613,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"142","ENSG00000291458",124905612,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"143","ENSG00000291458",728395,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"144","ENSG00000291458",7258,"TSPY4","protein_coding","HG1532_PATCH",204746,207566
"145","ENSG00000291459",128966591,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"146","ENSG00000291459",124909332,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"147","ENSG00000291459",124909329,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"148","ENSG00000291459",124909317,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"149","ENSG00000291459",124909305,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"150","ENSG00000291459",124905627,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"151","ENSG00000291459",124905618,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"152","ENSG00000291459",124905614,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"153","ENSG00000291459",124905613,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"154","ENSG00000291459",728132,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"155","ENSG00000291459",7258,"TSPY9","protein_coding","HG1532_PATCH",488788,491602
"156","ENSG00000172468",159119,"HSFY1","protein_coding","Y",18546691,18588963
"157","ENSG00000172468",86614,"HSFY1","protein_coding","Y",18546691,18588963
"158","ENSG00000176679",90655,"TGIF2LY","protein_coding","Y",3579067,3580041
"159","ENSG00000169800",378951,"RBMY1F","protein_coding","Y",22168542,22182982
"160","ENSG00000169800",159163,"RBMY1F","protein_coding","Y",22168542,22182982
"161","ENSG00000182415",9426,"CDY2A","protein_coding","Y",18025787,18027746
"162","ENSG00000185894",442868,"BPY2C","protein_coding","Y",25030901,25062548
"163","ENSG00000205916",57135,"DAZ4","protein_coding","Y",24833843,24907040
"164","ENSG00000129873",203611,"CDY2B","protein_coding","Y",17878260,17880220
"165","ENSG00000184895",6736,"SRY","protein_coding","Y",2786855,2787682
"166","ENSG00000129824",6192,"RPS4Y1","protein_coding","Y",2841602,2932000
"167","ENSG00000284255",283093,"OR4C12","protein_coding","HG1708_PATCH",23101,24163
"168","ENSG00000292249",403257,"","protein_coding","HG1708_PATCH",74500,75420
"169","ENSG00000067646",7544,"ZFY","protein_coding","Y",2935281,2982506
"170","ENSG00000067048",8653,"DDX3Y","protein_coding","Y",12904108,12920478
"171","ENSG00000183878",7404,"UTY","protein_coding","Y",13234577,13480673
"172","ENSG00000285070",79602,"ADIPOR2","protein_coding","HG1815_PATCH",30718,130818
"173","ENSG00000284953",93589,"CACNA2D4","protein_coding","HG1815_PATCH",134107,260810
"174","ENSG00000285383",654429,"LRTM2","protein_coding","HG1815_PATCH",162411,178897
"175","ENSG00000284850",196513,"DCP1B","protein_coding","HG1815_PATCH",288197,346679
"176","ENSG00000285479",100874369,"CACNA1C","protein_coding","HG1815_PATCH",312916,1046066
"177","ENSG00000285479",775,"CACNA1C","protein_coding","HG1815_PATCH",312916,1046066
"178","ENSG00000154620",9087,"TMSB4Y","protein_coding","Y",13703899,13706024
"179","ENSG00000129864",9084,"VCY","protein_coding","Y",13985772,13986473
"180","ENSG00000187191",57054,"DAZ3","protein_coding","Y",24763069,24813492
"181","ENSG00000188120",1617,"DAZ1","protein_coding","Y",23129355,23199010
"182","ENSG00000099721",266,"AMELY","protein_coding","Y",6865918,6911752
"183","ENSG00000092377",90665,"TBL1Y","protein_coding","Y",6910686,7101970
"184","ENSG00000205944",57055,"DAZ2","protein_coding","Y",23219447,23291356
"185","ENSG00000168757",64591,"TSPY2","protein_coding","Y",6246223,6249019
"186","ENSG00000242389",378950,"RBMY1E","protein_coding","Y",21903618,21918042
"187","ENSG00000165246",22829,"NLGN4Y","protein_coding","Y",14522573,14845654
"188","ENSG00000281230",56256,"SERTAD4","protein_coding","HG1832_PATCH",12538,26373
"189","ENSG00000280680",55733,"HHAT","protein_coding","HG1832_PATCH",107994,459395
"190","ENSG00000129862",353513,"VCY1B","protein_coding","Y",14056227,14056958
"191","ENSG00000280969",140032,"RPS4Y2","protein_coding","Y",20756108,20781032
"192","ENSG00000099715",83259,"PCDH11Y","protein_coding","Y",5000226,5742224
"193","ENSG00000099715",27328,"PCDH11Y","protein_coding","Y",5000226,5742224
"194","ENSG00000172352",253175,"CDY1B","protein_coding","Y",24045229,24048019
"195","ENSG00000183795",442867,"BPY2B","protein_coding","Y",24607560,24639207
"196","ENSG00000172288",9085,"CDY1","protein_coding","Y",25622117,25624902
"197","ENSG00000226941",378951,"RBMY1J","protein_coding","Y",22403410,22417881
"198","ENSG00000238074",128966591,"TSPY9","protein_coding","Y",9487267,9490081
"199","ENSG00000238074",124909332,"TSPY9","protein_coding","Y",9487267,9490081
"200","ENSG00000238074",124909329,"TSPY9","protein_coding","Y",9487267,9490081
"201","ENSG00000238074",124909317,"TSPY9","protein_coding","Y",9487267,9490081
"202","ENSG00000238074",124909305,"TSPY9","protein_coding","Y",9487267,9490081
"203","ENSG00000238074",124905627,"TSPY9","protein_coding","Y",9487267,9490081
"204","ENSG00000238074",124905618,"TSPY9","protein_coding","Y",9487267,9490081
"205","ENSG00000238074",124905614,"TSPY9","protein_coding","Y",9487267,9490081
"206","ENSG00000238074",124905613,"TSPY9","protein_coding","Y",9487267,9490081
"207","ENSG00000238074",728132,"TSPY9","protein_coding","Y",9487267,9490081
"208","ENSG00000238074",7258,"TSPY9","protein_coding","Y",9487267,9490081
"209","ENSG00000242875",378948,"RBMY1B","protein_coding","Y",21511338,21525786
"210","ENSG00000234414",378949,"RBMY1A1","protein_coding","Y",21534879,21549326
"211","ENSG00000234414",5940,"RBMY1A1","protein_coding","Y",21534879,21549326
"212","ENSG00000284765",90668,"CARMIL3","protein_coding","HG1_PATCH",352987,370707
"213","ENSG00000285221",9362,"CPNE6","protein_coding","HG1_PATCH",371815,379078
"214","ENSG00000285493",4901,"NRL","protein_coding","HG1_PATCH",381085,415992
"215","ENSG00000285241",5106,"PCK2","protein_coding","HG1_PATCH",395031,411576
"216","ENSG00000284796",80344,"DCAF11","protein_coding","HG1_PATCH",415173,426220
"217","ENSG00000284818",NA,"","protein_coding","HG1_PATCH",421934,432807
"218","ENSG00000285321",161247,"FITM1","protein_coding","HG1_PATCH",432253,433827
"219","ENSG00000284916",5720,"PSME1","protein_coding","HG1_PATCH",437141,439945
"220","ENSG00000285377",51016,"EMC9","protein_coding","HG1_PATCH",439937,442569
"221","ENSG00000284889",5721,"PSME2","protein_coding","HG1_PATCH",444340,448548
"222","ENSG00000233803",124909329,"TSPY4","protein_coding","Y",9337464,9340284
"223","ENSG00000233803",124909305,"TSPY4","protein_coding","Y",9337464,9340284
"224","ENSG00000233803",124909293,"TSPY4","protein_coding","Y",9337464,9340284
"225","ENSG00000233803",124905618,"TSPY4","protein_coding","Y",9337464,9340284
"226","ENSG00000233803",124905613,"TSPY4","protein_coding","Y",9337464,9340284
"227","ENSG00000233803",124905612,"TSPY4","protein_coding","Y",9337464,9340284
"228","ENSG00000233803",728395,"TSPY4","protein_coding","Y",9337464,9340284
"229","ENSG00000233803",7258,"TSPY4","protein_coding","Y",9337464,9340284
"230","ENSG00000285152",55072,"RNF31","protein_coding","HG1_PATCH",447661,461638
"231","ENSG00000229549",128966656,"TSPY8","protein_coding","Y",9357797,9360599
"232","ENSG00000229549",124908988,"TSPY8","protein_coding","Y",9357797,9360599
"233","ENSG00000229549",728403,"TSPY8","protein_coding","Y",9357797,9360599
"234","ENSG00000284845",NA,"","protein_coding","HG1_PATCH",448526,467430
"235","ENSG00000285048",10379,"IRF9","protein_coding","HG1_PATCH",462243,467543
"236","ENSG00000228927",128966655,"TSPY3","protein_coding","Y",9398421,9401223
"237","ENSG00000228927",128966647,"TSPY3","protein_coding","Y",9398421,9401223
"238","ENSG00000228927",128966599,"TSPY3","protein_coding","Y",9398421,9401223
"239","ENSG00000228927",128966595,"TSPY3","protein_coding","Y",9398421,9401223
"240","ENSG00000228927",124909330,"TSPY3","protein_coding","Y",9398421,9401223
"241","ENSG00000228927",124909320,"TSPY3","protein_coding","Y",9398421,9401223
"242","ENSG00000228927",124909318,"TSPY3","protein_coding","Y",9398421,9401223
"243","ENSG00000228927",124909306,"TSPY3","protein_coding","Y",9398421,9401223
"244","ENSG00000228927",124909294,"TSPY3","protein_coding","Y",9398421,9401223
"245","ENSG00000228927",124909197,"TSPY3","protein_coding","Y",9398421,9401223
"246","ENSG00000228927",124908981,"TSPY3","protein_coding","Y",9398421,9401223
"247","ENSG00000228927",124908980,"TSPY3","protein_coding","Y",9398421,9401223
"248","ENSG00000228927",124908979,"TSPY3","protein_coding","Y",9398421,9401223
"249","ENSG00000228927",124908978,"TSPY3","protein_coding","Y",9398421,9401223
"250","ENSG00000228927",124905629,"TSPY3","protein_coding","Y",9398421,9401223
"251","ENSG00000228927",124905628,"TSPY3","protein_coding","Y",9398421,9401223
"252","ENSG00000228927",124905627,"TSPY3","protein_coding","Y",9398421,9401223
"253","ENSG00000228927",124905626,"TSPY3","protein_coding","Y",9398421,9401223
"254","ENSG00000228927",124905625,"TSPY3","protein_coding","Y",9398421,9401223
"255","ENSG00000228927",124905624,"TSPY3","protein_coding","Y",9398421,9401223
"256","ENSG00000228927",124905621,"TSPY3","protein_coding","Y",9398421,9401223
"257","ENSG00000228927",124905620,"TSPY3","protein_coding","Y",9398421,9401223
"258","ENSG00000228927",124905619,"TSPY3","protein_coding","Y",9398421,9401223
"259","ENSG00000228927",124905618,"TSPY3","protein_coding","Y",9398421,9401223
"260","ENSG00000228927",124905617,"TSPY3","protein_coding","Y",9398421,9401223
"261","ENSG00000228927",124905616,"TSPY3","protein_coding","Y",9398421,9401223
"262","ENSG00000228927",124905615,"TSPY3","protein_coding","Y",9398421,9401223
"263","ENSG00000228927",124905614,"TSPY3","protein_coding","Y",9398421,9401223
"264","ENSG00000228927",100289087,"TSPY3","protein_coding","Y",9398421,9401223
"265","ENSG00000228927",728137,"TSPY3","protein_coding","Y",9398421,9401223
"266","ENSG00000285007",9985,"REC8","protein_coding","HG1_PATCH",472831,481235
"267","ENSG00000285248",79711,"IPO4","protein_coding","HG1_PATCH",481197,489847
"268","ENSG00000285125",NA,"","protein_coding","HG1_PATCH",481373,491394
"269","ENSG00000285465",10548,"TM9SF1","protein_coding","HG1_PATCH",490127,496665
"270","ENSG00000292327",28227,"PPP2R3B","protein_coding","Y",333933,386955
"271","ENSG00000285502",NA,"","protein_coding","HG1_PATCH",490135,514451
"272","ENSG00000285140",283629,"TSSK4","protein_coding","HG1_PATCH",506674,509340
"273","ENSG00000292332",3563,"IL3RA","protein_coding","Y",1336616,1382689
"274","ENSG00000285302",29082,"CHMP4A","protein_coding","HG1_PATCH",510561,514847
"275","ENSG00000292333",286530,"P2RY8","protein_coding","Y",1462581,1537185
"276","ENSG00000292334",293,"SLC25A6","protein_coding","Y",1386152,1392113
"277","ENSG00000292336",438,"ASMT","protein_coding","Y",1615059,1643081
"278","ENSG00000285200",145553,"MDP1","protein_coding","HG1_PATCH",514921,517048
"279","ENSG00000292338",207063,"DHRSX","protein_coding","Y",2219506,2502805
"280","ENSG00000285425",100528064,"NEDD8-MDP1","protein_coding","HG1_PATCH",514933,533330
"281","ENSG00000285246",4738,"NEDD8","protein_coding","HG1_PATCH",517835,533345
"282","ENSG00000292339",8623,"ASMTL","protein_coding","Y",1403139,1453762
"283","ENSG00000284752",51292,"GMPR2","protein_coding","HG1_PATCH",533400,540220
"284","ENSG00000292343",8227,"AKAP17A","protein_coding","Y",1591604,1602520
"285","ENSG00000292344",55344,"PLCXD1","protein_coding","Y",276322,303356
"286","ENSG00000292345",9189,"ZBED1","protein_coding","Y",2486414,2500976
"287","ENSG00000292348",4267,"CD99","protein_coding","Y",2691187,2741309
"288","ENSG00000284915",26277,"TINF2","protein_coding","HG1_PATCH",540621,543652
"289","ENSG00000285348",7051,"TGM1","protein_coding","HG1_PATCH",550092,565410
"290","ENSG00000292354",6473,"SHOX","protein_coding","Y",624344,659411
"291","ENSG00000285193",5875,"RABGGTA","protein_coding","HG1_PATCH",566516,572717
"292","ENSG00000292357",1438,"CSF2RA","protein_coding","Y",1268800,1310381
"293","ENSG00000284868",115817,"DHRS1","protein_coding","HG1_PATCH",591576,600758
"294","ENSG00000292358",8225,"GTPBP6","protein_coding","Y",304529,318796
"295","ENSG00000285326",161424,"NOP9","protein_coding","HG1_PATCH",600828,610102
"296","ENSG00000285199",27141,"CIDEB","protein_coding","HG1_PATCH",606074,612408
"297","ENSG00000285203",56413,"LTB4R2","protein_coding","HG1_PATCH",606712,613031
"298","ENSG00000292363",64109,"CRLF2","protein_coding","Y",1190490,1212723
"299","ENSG00000285456",1241,"LTB4R","protein_coding","HG1_PATCH",612428,619014
"300","ENSG00000292366",6845,"VAMP7","protein_coding","Y",57067865,57130289
"301","ENSG00000284814",196883,"ADCY4","protein_coding","HG1_PATCH",619327,636071
"302","ENSG00000292372",NA,"WASH6P","protein_coding","Y",57207346,57212230
"303","ENSG00000292373",3581,"IL9R","protein_coding","Y",57184216,57197337
"304","ENSG00000285379",11035,"RIPK3","protein_coding","HG1_PATCH",637003,641000
"305","ENSG00000285485",4776,"NFATC4","protein_coding","HG1_PATCH",666651,680582
"306","ENSG00000284807",10901,"DHRS4","protein_coding","HG1_PATCH",254713,270255
"307","ENSG00000292270",317749,"","protein_coding","HG1_PATCH",270920,312726
"308","ENSG00000280774",342900,"LEUTX","protein_coding","HG2021_PATCH",36471,46043
"309","ENSG00000281320",9149,"DYRK1B","protein_coding","HG2021_PATCH",85226,94077
"310","ENSG00000280548",2091,"FBL","protein_coding","HG2021_PATCH",94334,106255
"311","ENSG00000281221",5704,"PSMC4","protein_coding","HG2021_PATCH",246308,256907
"312","ENSG00000281526",339327,"ZNF546","protein_coding","HG2021_PATCH",259277,296181
"313","ENSG00000281601",163131,"ZNF780B","protein_coding","HG2021_PATCH",303403,331374
"314","ENSG00000280568",284323,"ZNF780A","protein_coding","HG2021_PATCH",344295,366081
"315","ENSG00000281123",8857,"FCGBP","protein_coding","HG2021_PATCH",123199,209777
"316","ENSG00000285435",8290,"H3-4","protein_coding","HG2002_PATCH",16044,16524
"317","ENSG00000284841",92815,"H2AC25","protein_coding","HG2002_PATCH",48178,49072
"318","ENSG00000285449",128312,"H2BC26","protein_coding","HG2002_PATCH",49306,51669
"319","ENSG00000285426",149603,"RNF187","protein_coding","HG2002_PATCH",78581,87387
"320","ENSG00000284984",58480,"RHOU","protein_coding","HG2002_PATCH",312483,323668
"321","ENSG00000280584",29989,"OBP2B","protein_coding","HG2030_PATCH",31223,35196
"322","ENSG00000281309",6838,"SURF6","protein_coding","HG2030_PATCH",154870,162282
"323","ENSG00000281022",6837,"MED22","protein_coding","HG2030_PATCH",164406,174225
"324","ENSG00000280858",6130,"RPL7A","protein_coding","HG2030_PATCH",174312,177520
"325","ENSG00000283984",NA,"","protein_coding","HG2030_PATCH",176775,177487
"326","ENSG00000280627",6834,"SURF1","protein_coding","HG2030_PATCH",177852,182770
"327","ENSG00000281024",6835,"SURF2","protein_coding","HG2030_PATCH",182644,187252
"328","ENSG00000280951",6836,"SURF4","protein_coding","HG2030_PATCH",187544,202260
"329","ENSG00000281245",169436,"STKLD1","protein_coding","HG2030_PATCH",202460,232190
"330","ENSG00000280706",57109,"REXO4","protein_coding","HG2030_PATCH",232153,244190
"331","ENSG00000281244",11093,"ADAMTS13","protein_coding","HG2030_PATCH",240452,285496
"332","ENSG00000280479",11094,"CACFD1","protein_coding","HG2030_PATCH",286059,296942
"333","ENSG00000281165",11182,"SLC2A6","protein_coding","HG2030_PATCH",297188,305221
"334","ENSG00000281879",28,"ABO","protein_coding","HG2030_PATCH",76358,102118
"335","ENSG00000285063",448831,"FRG2","protein_coding","HG2023_PATCH",116955,119843
"336","ENSG00000283153",2483,"FRG1","protein_coding","HG2023_PATCH",33800,56132
"337","ENSG00000284383",124906466,"","protein_coding","HG2023_PATCH",163856,165127
"338","ENSG00000284383",124906465,"","protein_coding","HG2023_PATCH",163856,165127
"339","ENSG00000284383",124906464,"","protein_coding","HG2023_PATCH",163856,165127
"340","ENSG00000284383",124906463,"","protein_coding","HG2023_PATCH",163856,165127
"341","ENSG00000284383",124906462,"","protein_coding","HG2023_PATCH",163856,165127
